Project Name,Project Version,Project Author,Project License,Library Name,Library Version,Library Type,Library Author,Library License
lodash,4.17.21,NA,MIT,forever-agent,0.6.1,library,Mikeal Rogers,Apache-2.0
lodash,4.17.21,NA,MIT,form-data,2.3.3,library,Felix Geisendörfer,MIT
lodash,4.17.21,NA,MIT,har-validator,5.1.3,library,Ahmad Nassri,MIT
lodash,4.17.21,NA,MIT,http-signature,1.2.0,library,"Joyent, Inc",MIT
lodash,4.17.21,NA,MIT,mime-types,2.1.24,library,NA,MIT
lodash,4.17.21,NA,MIT,oauth-sign,0.9.0,library,Mikeal Rogers,Apache-2.0
lodash,4.17.21,NA,MIT,qs,6.5.2,library,NA,BSD-3-Clause
lodash,4.17.21,NA,MIT,safe-buffer,5.2.0,library,Feross Aboukhadijeh,MIT
lodash,4.17.21,NA,MIT,tough-cookie,2.4.3,library,Jeremy Stashewsky,BSD-3-Clause
lodash,4.17.21,NA,MIT,tunnel-agent,0.6.0,library,Mikeal Rogers,Apache-2.0
lodash,4.17.21,NA,MIT,uuid,3.3.2,library,NA,MIT
lodash,4.17.21,NA,MIT,delayed-stream,1.0.0,library,Felix Geisendörfer,MIT
lodash,4.17.21,NA,MIT,assert-plus,1.0.0,library,Mark Cavage,MIT
lodash,4.17.21,NA,MIT,mime-db,1.40.0,library,NA,MIT
lodash,4.17.21,NA,MIT,requirejs,2.3.6,library,James Burke,MIT
lodash,4.17.21,NA,MIT,sauce-tunnel,2.5.0,library,NA,MIT
lodash,4.17.21,NA,MIT,split,1.0.1,library,Dominic Tarr,MIT
lodash,4.17.21,NA,MIT,uglify-js,2.7.5,library,Mihai Bazon,BSD-2-Clause
lodash,4.17.21,NA,MIT,async,0.2.10,library,Caolan McMahon,MIT
lodash,4.17.21,NA,MIT,source-map,0.5.7,library,Nick Fitzgerald,BSD-3-Clause
lodash,4.17.21,NA,MIT,webpack,1.15.0,library,Tobias Koppers @sokra,MIT
lodash,4.17.21,NA,MIT,async,1.5.2,library,Caolan McMahon,MIT
lodash,4.17.21,NA,MIT,supports-color,3.2.3,library,Sindre Sorhus,MIT
lodash,4.17.21,NA,MIT,ansi-styles,2.2.1,library,Sindre Sorhus,MIT
