Project Name,Project Version,Project Author,Project License,Library Name,Library Version,Library Type,Library Author,Library License
mongoose,8.18.1,Guillermo Rauch,MIT,convert-source-map,1.9.0,library,Thorsten Lorenz,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,find-up,4.1.0,library,Sindre Sorhus,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,foreground-child,2.0.0,library,Isaac Z. Schlueter,ISC
mongoose,8.18.1,Guillermo Rauch,MIT,glob,7.2.3,library,Isaac Z. Schlueter,ISC
mongoose,8.18.1,Guillermo Rauch,MIT,resolve-from,5.0.0,library,Sindre Sorhus,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,signal-exit,3.0.7,library,Ben Coe,ISC
mongoose,8.18.1,Guillermo Rauch,MIT,yargs,15.4.1,library,NA,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,locate-path,5.0.0,library,Sindre Sorhus,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,minimatch,3.1.2,library,Isaac Z. Schlueter,ISC
mongoose,8.18.1,Guillermo Rauch,MIT,cliui,6.0.0,library,Ben Coe,ISC
mongoose,8.18.1,Guillermo Rauch,MIT,string-width,4.2.3,library,Sindre Sorhus,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,y18n,4.0.3,library,Ben Coe,ISC
mongoose,8.18.1,Guillermo Rauch,MIT,yargs-parser,18.1.3,library,Ben Coe,ISC
mongoose,8.18.1,Guillermo Rauch,MIT,p-locate,4.1.0,library,Sindre Sorhus,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,brace-expansion,1.1.12,library,Julian Gruber,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,strip-ansi,6.0.1,library,Sindre Sorhus,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,wrap-ansi,6.2.0,library,Sindre Sorhus,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,emoji-regex,8.0.0,library,Mathias Bynens,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,camelcase,5.3.1,library,Sindre Sorhus,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,p-limit,2.3.0,library,Sindre Sorhus,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,ansi-regex,5.0.1,library,Sindre Sorhus,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,ansi-styles,4.3.0,library,Sindre Sorhus,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,pug,3.0.3,library,TJ Holowaychuk,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,q,1.5.1,library,Kris Kowal,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,sift,17.1.3,library,Craig Condon,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,sinon,21.0.0,library,Christian Johansen,BSD-3-Clause
mongoose,8.18.1,Guillermo Rauch,MIT,supports-color,7.2.0,library,Sindre Sorhus,MIT
mongoose,8.18.1,Guillermo Rauch,MIT,stream-browserify,3.0.0,library,James Halliday,MIT
