Project Name,Project Version,Project Author,Project License,Library Name,Library Version,Library Type,Library Author,Library License
jest,30.1.3,NA,NA,tstyche,4.0.0,library,NA,MIT
jest,30.1.3,NA,NA,typescript-eslint,8.38.0,library,NA,MIT
jest,30.1.3,NA,NA,typescript,5.5.4,library,Microsoft Corp.,Apache-2.0
jest,30.1.3,NA,NA,webpack-node-externals,3.0.0,library,Liad Yosef,MIT
jest,30.1.3,NA,NA,webpack,5.99.9,library,Tobias Koppers @sokra,MIT
jest,30.1.3,NA,NA,which,4.0.0,library,GitHub Inc.,ISC
jest,30.1.3,NA,NA,isexe,3.1.1,library,Isaac Z. Schlueter,ISC
jest,30.1.3,NA,NA,eslint-scope,3.7.7,library,NA,MIT
jest,30.1.3,NA,NA,estree,1.0.7,library,NA,MIT
jest,30.1.3,NA,NA,json-schema,7.0.15,library,NA,MIT
jest,30.1.3,NA,NA,ast,1.14.1,library,Sven Sauleau,MIT
jest,30.1.3,NA,NA,wasm-edit,1.14.1,library,Sven Sauleau,MIT
jest,30.1.3,NA,NA,wasm-parser,1.14.1,library,Sven Sauleau,MIT
jest,30.1.3,NA,NA,acorn,8.14.1,library,NA,MIT
jest,30.1.3,NA,NA,browserslist,4.24.5,library,Andrey Sitnik,MIT
jest,30.1.3,NA,NA,chrome-trace-event,1.0.4,library,"Trent Mick, Sam Saccone",MIT
jest,30.1.3,NA,NA,enhanced-resolve,5.18.1,library,Tobias Koppers @sokra,MIT
jest,30.1.3,NA,NA,es-module-lexer,1.7.0,library,Guy Bedford,MIT
jest,30.1.3,NA,NA,eslint-scope,5.1.1,library,NA,BSD-2-Clause
jest,30.1.3,NA,NA,events,3.3.0,library,Irakli Gozalishvili,MIT
jest,30.1.3,NA,NA,glob-to-regexp,0.4.1,library,Nick Fitzgerald,BSD-2-Clause
jest,30.1.3,NA,NA,json-parse-even-better-errors,2.3.1,library,Kat Marchán,MIT
jest,30.1.3,NA,NA,loader-runner,4.3.0,library,Tobias Koppers @sokra,MIT
jest,30.1.3,NA,NA,mime-types,2.1.35,library,NA,MIT
jest,30.1.3,NA,NA,neo-async,2.6.2,library,NA,MIT
jest,30.1.3,NA,NA,schema-utils,4.3.2,library,webpack Contrib,MIT
jest,30.1.3,NA,NA,tapable,2.2.2,library,Tobias Koppers @sokra,MIT
jest,30.1.3,NA,NA,terser-webpack-plugin,5.3.14,library,webpack Contrib Team,MIT
jest,30.1.3,NA,NA,watchpack,2.4.4,library,Tobias Koppers @sokra,MIT
jest,30.1.3,NA,NA,webpack-sources,3.3.0,library,Tobias Koppers @sokra,MIT
jest,30.1.3,NA,NA,trace-mapping,0.3.25,library,Justin Ridgewell,MIT
jest,30.1.3,NA,NA,jest-worker,27.5.1,library,NA,MIT
jest,30.1.3,NA,NA,serialize-javascript,6.0.2,library,Eric Ferraiuolo,BSD-3-Clause
jest,30.1.3,NA,NA,terser,5.39.2,library,Mihai Bazon,BSD-2-Clause
jest,30.1.3,NA,NA,source-map,0.3.6,library,Justin Ridgewell,MIT
jest,30.1.3,NA,NA,commander,2.20.3,library,TJ Holowaychuk,MIT
jest,30.1.3,NA,NA,source-map-support,0.5.21,library,NA,MIT
jest,30.1.3,NA,NA,buffer-from,1.1.2,library,NA,MIT
jest,30.1.3,NA,NA,source-map,0.6.1,library,Nick Fitzgerald,BSD-3-Clause
jest,30.1.3,NA,NA,gen-mapping,0.3.8,library,Justin Ridgewell,MIT
jest,30.1.3,NA,NA,set-array,1.2.1,library,Justin Ridgewell,MIT
