Project Name,Project Version,Project Author,Project License,Library Name,Library Version,Library Type,Library Author,Library License
bcrypt,6.0.0,Nick Campbell,MIT,istanbul-lib-report,3.0.1,library,Krishnan Anantheswaran,BSD-3-Clause
bcrypt,6.0.0,Nick Campbell,MIT,istanbul-lib-source-maps,4.0.1,library,Krishnan Anantheswaran,BSD-3-Clause
bcrypt,6.0.0,Nick Campbell,MIT,istanbul-reports,3.1.7,library,Krishnan Anantheswaran,BSD-3-Clause
bcrypt,6.0.0,Nick Campbell,MIT,jest-worker,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,supports-color,8.1.1,library,Sindre Sorhus,MIT
bcrypt,6.0.0,Nick Campbell,MIT,string-length,4.0.2,library,Sindre Sorhus,MIT
bcrypt,6.0.0,Nick Campbell,MIT,v8-to-istanbul,9.3.0,library,Ben Coe,ISC
bcrypt,6.0.0,Nick Campbell,MIT,core,7.26.7,library,The Babel Team,MIT
bcrypt,6.0.0,Nick Campbell,MIT,babel-plugin-istanbul,6.1.1,library,Thai Pangsakulyanont @dtinth,BSD-3-Clause
bcrypt,6.0.0,Nick Campbell,MIT,istanbul-lib-instrument,5.2.1,library,Krishnan Anantheswaran,BSD-3-Clause
bcrypt,6.0.0,Nick Campbell,MIT,convert-source-map,2.0.0,library,Thorsten Lorenz,MIT
bcrypt,6.0.0,Nick Campbell,MIT,fast-json-stable-stringify,2.1.0,library,James Halliday,MIT
bcrypt,6.0.0,Nick Campbell,MIT,pirates,4.0.6,library,Ari Porad,MIT
bcrypt,6.0.0,Nick Campbell,MIT,write-file-atomic,4.0.2,library,GitHub Inc.,ISC
bcrypt,6.0.0,Nick Campbell,MIT,undici-types,6.20.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,type-fest,0.21.3,library,Sindre Sorhus,NA
bcrypt,6.0.0,Nick Campbell,MIT,ansi-styles,4.3.0,library,Sindre Sorhus,MIT
bcrypt,6.0.0,Nick Campbell,MIT,supports-color,7.2.0,library,Sindre Sorhus,MIT
bcrypt,6.0.0,Nick Campbell,MIT,execa,5.1.1,library,Sindre Sorhus,MIT
bcrypt,6.0.0,Nick Campbell,MIT,p-limit,3.1.0,library,Sindre Sorhus,MIT
bcrypt,6.0.0,Nick Campbell,MIT,test-sequencer,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,babel-jest,29.7.0,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,deepmerge,4.3.1,library,NA,MIT
bcrypt,6.0.0,Nick Campbell,MIT,jest-circus,29.7.0,library,NA,MIT
