Project Name,Project Version,Project Author,Project License,Library Name,Library Version,Library Type,Library Author,Library License
axios,4.0.1,Kamil Mysliwiec,MIT,strip-json-comments,3.1.1,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,file-type,21.0.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,iterare,1.2.1,library,Felix Becker,ISC
axios,4.0.1,Kamil Mysliwiec,MIT,load-esm,1.0.2,library,Borewit,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,tslib,2.8.1,library,Microsoft Corp.,0BSD
axios,4.0.1,Kamil Mysliwiec,MIT,uid,2.0.2,library,Luke Edwards,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,opencollective,0.4.1,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,fast-safe-stringify,2.1.1,library,David Mark Clements,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,path-to-regexp,8.2.0,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,cors,2.8.5,library,Troy Goode,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,express,5.1.0,library,TJ Holowaychuk,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,mime-types,3.0.1,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,type-is,2.0.1,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,mime-db,1.54.0,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,media-typer,1.1.0,library,Douglas Christopher Wilson,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,multer,2.0.2,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,expect,30.1.2,library,NA,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,pretty-format,30.0.5,library,James Kyle,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,ansi-styles,5.2.0,library,Sindre Sorhus,MIT
axios,4.0.1,Kamil Mysliwiec,MIT,undici-types,6.21.0,library,NA,MIT
