Library,Current Version,Latest Version,Status
ansi-escapes,5.0.0,7.1.0,Update available (7.1.0)
electron,0.4.1,38.0.0,Update available (38.0.0)
v8-argv,0.1.0,0.2.0,Update available (0.2.0)
typescript,4.5.5,5.9.2,Update available (5.9.2)
eslintrc,3.3.1,1.0.6,Current version is newer than npm (1.0.6)
eslint-plugin,6.21.0,1.0.1,Current version is newer than npm (1.0.1)
parser,6.21.0,0.1.4,Current version is newer than npm (0.1.4)
cosmiconfig,8.3.6,9.0.0,Update available (9.0.0)
define-lazy-prop,3.0.0,3.0.0,Up-to-date
eslint-config-prettier,9.1.2,10.1.8,Update available (10.1.8)
eslint-config-xo-typescript,2.1.1,9.0.0,Update available (9.0.0)
eslint-config-xo,0.44.0,0.49.0,Update available (0.49.0)
eslint-import-resolver-webpack,0.13.10,0.13.10,Up-to-date
debug,3.2.7,4.4.1,Update available (4.4.1)
resolve,2.0.0-next.5,1.22.10,Current version is newer than npm (1.22.10)
eslint-plugin-ava,14.0.0,15.1.0,Update available (15.1.0)
pkg-dir,5.0.0,9.0.0,Update available (9.0.0)
eslint-plugin-eslint-comments,3.2.0,3.2.0,Up-to-date
eslint-plugin-import,2.32.0,2.32.0,Up-to-date
doctrine,2.1.0,3.0.0,Update available (3.0.0)
eslint-plugin-n,16.6.2,17.21.3,Update available (17.21.3)
eslint-plugin-no-use-extend-native,0.5.0,0.7.2,Update available (0.7.2)
eslint-plugin-unicorn,51.0.1,61.0.2,Update available (61.0.2)
ci-info,4.3.0,4.3.0,Up-to-date
esm-utils,4.4.2,4.4.2,Up-to-date
find-cache-dir,5.0.0,6.0.0,Update available (6.0.0)
pkg-dir,7.0.0,9.0.0,Update available (9.0.0)
find-up,6.3.0,7.0.0,Update available (7.0.0)
locate-path,7.2.0,7.2.0,Up-to-date
path-exists,5.0.0,5.0.0,Up-to-date
p-locate,6.0.0,6.0.0,Up-to-date
p-limit,4.0.0,7.1.1,Update available (7.1.1)
yocto-queue,1.2.1,1.2.1,Up-to-date
find-up-simple,1.0.1,1.0.1,Up-to-date
get-stdin,9.0.0,9.0.0,Up-to-date
get-tsconfig,4.10.1,4.10.1,Up-to-date
lodash-es,4.17.21,4.17.21,Up-to-date
open-editor,4.1.1,5.1.0,Update available (5.1.0)
execa,5.1.1,9.6.0,Update available (9.6.0)
human-signals,2.1.0,8.0.1,Update available (8.0.1)
npm-run-path,4.0.1,6.0.0,Update available (6.0.0)
strip-final-newline,2.0.0,4.0.0,Update available (4.0.0)
prettier,3.6.2,3.6.2,Up-to-date
to-absolute-glob,3.0.0,3.0.0,Up-to-date
anymatch,3.1.3,3.1.3,Up-to-date
fsevents,2.3.3,2.3.3,Up-to-date
is-binary-path,2.1.0,3.0.0,Update available (3.0.0)
normalize-path,3.0.0,3.0.0,Up-to-date
readdirp,3.6.0,4.1.2,Update available (4.1.2)
restore-cursor,3.1.0,5.1.0,Update available (5.1.0)
slice-ansi,3.0.0,7.1.2,Update available (7.1.2)
convert-to-spaces,1.0.2,2.0.1,Update available (2.0.1)
date-time,3.1.0,4.0.0,Update available (4.0.0)
fast-diff,1.3.0,1.3.0,Up-to-date
js-string-escape,1.0.1,1.0.1,Up-to-date
well-known-symbols,2.0.0,4.1.0,Update available (4.1.0)
array-find-index,1.0.2,1.0.2,Up-to-date
is-path-cwd,2.2.0,4.0.1,Update available (4.0.1)
blueimp-md5,2.19.0,2.19.0,Up-to-date
map-age-cleaner,0.1.3,0.2.0,Update available (0.2.0)
mimic-fn,3.1.0,5.0.0,Update available (5.0.0)
bl,4.1.0,6.1.3,Update available (6.1.3)
cli-spinners,2.9.2,3.2.0,Update available (3.2.0)
is-interactive,1.0.0,2.0.0,Update available (2.0.0)
wcwidth,1.0.1,1.0.1,Up-to-date
p-timeout,3.2.0,6.1.4,Update available (6.1.4)
load-json-file,5.3.0,7.0.1,Update available (7.0.1)
type-fest,0.3.1,4.41.0,Update available (4.41.0)
parse-ms,2.1.0,4.0.0,Update available (4.0.0)
serialize-error,7.0.1,12.0.0,Update available (12.0.0)
type-fest,0.13.1,4.41.0,Update available (4.41.0)
boxen,5.1.2,8.0.1,Update available (8.0.1)
configstore,5.0.1,7.0.0,Update available (7.0.0)
has-yarn,2.1.0,3.0.0,Update available (3.0.0)
import-lazy,2.1.0,4.0.0,Update available (4.0.0)
is-ci,2.0.0,4.1.0,Update available (4.1.0)
is-installed-globally,0.4.0,1.0.0,Update available (1.0.0)
is-npm,5.0.0,6.0.0,Update available (6.0.0)
is-yarn-global,0.3.0,0.4.1,Update available (0.4.1)
latest-version,5.1.0,9.0.0,Update available (9.0.0)
pupa,2.1.1,3.1.0,Update available (3.1.0)
semver-diff,3.1.1,4.0.0,Update available (4.0.0)
xdg-basedir,4.0.0,5.1.0,Update available (5.1.0)
cliui,7.0.4,9.0.1,Update available (9.0.1)
istanbul-lib-coverage,2.0.6,3.2.2,Update available (3.2.2)
type-fest,1.4.0,4.41.0,Update available (4.41.0)
drip,1.1.0,1.4.0,Update available (1.4.0)
espree,10.4.0,10.4.0,Up-to-date
globals,14.0.0,16.4.0,Update available (16.4.0)
scope-manager,6.21.0,,Not Found
type-utils,6.21.0,0.10.6,Current version is newer than npm (0.10.6)
utils,6.21.0,0.3.1,Current version is newer than npm (0.3.1)
visitor-keys,6.21.0,,Not Found
ts-api-utils,1.4.3,2.1.0,Update available (2.1.0)
types,6.21.0,0.1.1,Current version is newer than npm (0.1.1)
typescript-estree,6.21.0,18.1.0,Update available (18.1.0)
minimatch,9.0.3,10.0.3,Update available (10.0.3)
confusing-browser-globals,1.0.11,1.0.11,Up-to-date
enhanced-resolve,0.9.1,5.18.3,Update available (5.18.3)
find-root,1.1.0,1.1.0,Up-to-date
interpret,1.4.0,3.1.1,Update available (3.1.1)
enhance-visitors,1.0.0,1.0.0,Up-to-date
eslint-utils,3.0.0,3.0.0,Up-to-date
eslint-visitor-keys,2.1.0,4.2.1,Update available (4.2.1)
espurify,2.1.1,3.2.0,Update available (3.2.0)
import-modules,2.1.0,3.2.0,Update available (3.2.0)
micro-spelling-correcter,1.1.1,1.1.1,Up-to-date
scc,1.1.0,0.1.3,Current version is newer than npm (0.1.3)
array-includes,3.1.9,3.1.9,Up-to-date
array.prototype.findlastindex,1.2.6,1.2.6,Up-to-date
array.prototype.flat,1.3.3,1.3.3,Up-to-date
array.prototype.flatmap,1.3.3,1.3.3,Up-to-date
eslint-import-resolver-node,0.3.9,0.3.9,Up-to-date
eslint-module-utils,2.12.1,2.12.1,Up-to-date
object.fromentries,2.0.8,2.0.8,Up-to-date
object.groupby,1.0.3,1.0.3,Up-to-date
object.values,1.2.1,1.2.1,Up-to-date
string.prototype.trimend,1.0.9,1.0.9,Up-to-date
tsconfig-paths,3.15.0,4.2.0,Update available (4.2.0)
builtins,5.1.0,5.1.0,Up-to-date
eslint-plugin-es-x,7.8.0,9.1.0,Update available (9.1.0)
is-builtin-module,3.2.1,5.0.0,Update available (5.0.0)
is-get-set-prop,1.0.0,2.0.0,Update available (2.0.0)
is-js-type,2.0.0,3.0.0,Update available (3.0.0)
is-obj-prop,1.0.0,2.0.0,Update available (2.0.0)
is-proto-prop,2.0.0,3.0.1,Update available (3.0.1)
prettier-linter-helpers,1.0.0,1.0.0,Up-to-date
synckit,0.11.11,0.11.11,Up-to-date
clean-regexp,1.0.0,1.0.0,Up-to-date
pluralize,8.0.0,8.0.0,Up-to-date
regexp-tree,0.1.27,0.1.27,Up-to-date
regjsparser,0.10.0,0.12.0,Update available (0.12.0)
jsesc,0.5.0,3.1.0,Update available (3.1.0)
import-meta-resolve,4.2.0,4.2.0,Up-to-date
url-or-path,2.6.1,2.6.1,Up-to-date
resolve-pkg-maps,1.0.0,1.0.0,Up-to-date
env-editor,1.2.0,1.2.0,Up-to-date
line-column-path,3.0.0,3.0.0,Up-to-date
type-fest,2.19.0,4.41.0,Update available (4.41.0)
open,8.4.2,10.2.0,Update available (10.2.0)
define-lazy-prop,2.0.0,3.0.0,Update available (3.0.0)
is-absolute,1.0.0,1.0.0,Up-to-date
is-negated-glob,1.0.0,1.0.0,Up-to-date
binary-extensions,2.3.0,3.1.0,Update available (3.1.0)
astral-regex,2.0.0,2.0.0,Up-to-date
time-zone,1.0.0,2.0.0,Update available (2.0.0)
p-defer,1.0.0,4.0.1,Update available (4.0.1)
defaults,1.0.4,3.0.0,Update available (3.0.0)
p-finally,1.0.0,3.0.0,Update available (3.0.0)
parse-json,4.0.0,8.3.0,Update available (8.3.0)
pify,4.0.1,6.1.0,Update available (6.1.0)
strip-bom,3.0.0,5.0.0,Update available (5.0.0)
ansi-align,3.0.1,3.0.1,Up-to-date
cli-boxes,2.2.1,4.0.1,Update available (4.0.1)
widest-line,3.1.0,5.0.0,Update available (5.0.0)
dot-prop,5.3.0,9.0.0,Update available (9.0.0)
unique-string,2.0.0,3.0.0,Update available (3.0.0)
global-dirs,3.0.1,4.0.0,Update available (4.0.0)
package-json,6.5.0,10.0.1,Update available (10.0.1)
escape-goat,2.1.1,4.0.0,Update available (4.0.0)
tea-concat,0.1.0,0.1.0,Up-to-date
semver,7.7.1,7.7.2,Update available (7.7.2)
get-east-asian-width,1.4.0,1.4.0,Up-to-date
memory-fs,0.2.0,0.5.0,Update available (0.5.0)
tapable,0.1.10,2.2.3,Update available (2.2.3)
es-abstract,1.24.0,1.24.0,Up-to-date
es-shim-unscopables,1.1.0,1.1.0,Up-to-date
json5,0.0.29,2.2.3,Update available (2.2.3)
json5,1.0.2,2.2.3,Update available (2.2.3)
eslint-compat-utils,0.5.1,0.6.5,Update available (0.6.5)
builtin-modules,3.3.0,5.0.0,Update available (5.0.0)
get-set-props,0.1.0,0.2.0,Update available (0.2.0)
lowercase-keys,1.0.1,3.0.0,Update available (3.0.0)
js-types,1.0.0,4.0.0,Update available (4.0.0)
obj-props,1.4.0,2.0.0,Update available (2.0.0)
proto-props,2.0.0,4.0.0,Update available (4.0.0)
core,0.2.9,1.0.113,Update available (1.0.113)
is-docker,2.2.1,3.0.0,Update available (3.0.0)
is-wsl,2.2.0,3.1.0,Update available (3.1.0)
is-relative,1.0.0,1.0.0,Up-to-date
string_decoder,1.3.0,1.3.0,Up-to-date
clone,1.0.4,2.1.2,Update available (2.1.2)
json-parse-better-errors,1.0.2,1.0.2,Up-to-date
is-obj,2.0.0,3.0.0,Update available (3.0.0)
crypto-random-string,2.0.0,5.0.0,Update available (5.0.0)
ini,2.0.0,5.0.0,Update available (5.0.0)
got,9.6.0,14.4.8,Update available (14.4.8)
get-stream,4.1.0,9.0.1,Update available (9.0.1)
registry-auth-token,4.2.2,5.1.0,Update available (5.1.0)
registry-url,5.1.0,7.2.0,Update available (7.2.0)
array-buffer-byte-length,1.0.2,1.0.2,Up-to-date
arraybuffer.prototype.slice,1.0.4,1.0.4,Up-to-date
data-view-buffer,1.0.2,1.0.2,Up-to-date
data-view-byte-length,1.0.2,1.0.2,Up-to-date
data-view-byte-offset,1.0.1,1.0.1,Up-to-date
es-set-tostringtag,2.1.0,2.1.0,Up-to-date
es-to-primitive,1.3.0,1.3.0,Up-to-date
function.prototype.name,1.1.8,1.1.8,Up-to-date
get-symbol-description,1.1.0,1.1.0,Up-to-date
globalthis,1.0.4,1.0.4,Up-to-date
has-proto,1.2.0,1.2.0,Up-to-date
internal-slot,1.1.0,1.1.0,Up-to-date
is-array-buffer,3.0.5,3.0.5,Up-to-date
is-data-view,1.0.2,1.0.2,Up-to-date
is-negative-zero,2.0.3,2.0.3,Up-to-date
is-set,2.0.3,2.0.3,Up-to-date
is-shared-array-buffer,1.0.4,1.0.4,Up-to-date
is-weakref,1.1.1,1.1.1,Up-to-date
object.assign,4.1.7,4.1.7,Up-to-date
own-keys,1.0.1,1.0.1,Up-to-date
regexp.prototype.flags,1.5.4,1.5.4,Up-to-date
safe-array-concat,1.1.3,1.1.3,Up-to-date
safe-push-apply,1.0.0,1.0.0,Up-to-date
set-proto,1.0.0,1.0.0,Up-to-date
stop-iteration-iterator,1.1.0,1.1.0,Up-to-date
string.prototype.trim,1.2.10,1.2.10,Up-to-date
string.prototype.trimstart,1.0.8,1.0.8,Up-to-date
typed-array-byte-length,1.0.3,1.0.3,Up-to-date
typed-array-byte-offset,1.0.4,1.0.4,Up-to-date
typed-array-length,1.0.7,1.0.7,Up-to-date
unbox-primitive,1.1.0,1.1.0,Up-to-date
is-unc-path,1.0.0,1.0.0,Up-to-date
is,0.14.0,3.3.2,Update available (3.3.2)
http-timer,1.1.2,,Not Found
cacheable-request,6.1.0,13.0.9,Update available (13.0.9)
get-stream,5.2.0,9.0.1,Update available (9.0.1)
lowercase-keys,2.0.0,3.0.0,Update available (3.0.0)
decompress-response,3.3.0,9.0.0,Update available (9.0.0)
duplexer3,0.1.5,1.0.0,Update available (1.0.0)
mimic-response,1.0.1,4.0.0,Update available (4.0.0)
p-cancelable,1.1.0,4.0.1,Update available (4.0.1)
to-readable-stream,1.0.0,4.0.0,Update available (4.0.0)
url-parse-lax,3.0.0,6.0.0,Update available (6.0.0)
rc,1.2.8,1.2.8,Up-to-date
ini,1.3.8,5.0.0,Update available (5.0.0)
is-date-object,1.1.0,1.1.0,Up-to-date
is-symbol,1.1.1,1.1.1,Up-to-date
functions-have-names,1.2.3,1.2.3,Up-to-date
set-function-name,2.0.2,2.0.2,Up-to-date
reflect.getprototypeof,1.0.10,1.0.10,Up-to-date
has-bigints,1.1.0,1.1.0,Up-to-date
which-boxed-primitive,1.1.1,1.1.1,Up-to-date
unc-path-regex,0.1.2,0.1.2,Up-to-date
defer-to-connect,1.1.3,2.0.1,Update available (2.0.1)
clone-response,1.0.3,2.0.0,Update available (2.0.0)
http-cache-semantics,4.2.0,4.2.0,Up-to-date
keyv,3.1.0,5.5.0,Update available (5.5.0)
normalize-url,4.5.1,8.0.2,Update available (8.0.2)
responselike,1.0.2,3.0.0,Update available (3.0.0)
pump,3.0.3,3.0.3,Up-to-date
prepend-http,2.0.0,4.0.0,Update available (4.0.0)
deep-extend,0.6.0,0.6.0,Up-to-date
strip-json-comments,2.0.1,5.0.3,Update available (5.0.3)
which-builtin-type,1.2.1,1.2.1,Up-to-date
is-bigint,1.1.0,1.1.0,Up-to-date
is-boolean-object,1.2.2,1.2.2,Up-to-date
is-number-object,1.1.1,1.1.1,Up-to-date
json-buffer,3.0.0,3.0.1,Update available (3.0.1)
is-async-function,2.1.1,2.1.1,Up-to-date
is-finalizationregistry,1.1.1,1.1.1,Up-to-date
which-collection,1.0.2,1.0.2,Up-to-date
async-function,1.0.0,1.0.0,Up-to-date
is-map,2.0.3,2.0.3,Up-to-date
is-weakmap,2.0.2,2.0.2,Up-to-date
is-weakset,2.0.4,2.0.4,Up-to-date
jest,29.7.0,30.1.3,Update available (30.1.3)
node-addon-api,8.3.0,8.5.0,Update available (8.5.0)
node-gyp-build,4.8.4,4.8.4,Up-to-date
prebuildify,6.0.1,6.0.1,Up-to-date
npm-run-path,3.1.0,6.0.0,Update available (6.0.0)
core,29.7.0,1.0.113,Current version is newer than npm (1.0.113)
types,29.6.3,0.1.1,Current version is newer than npm (0.1.1)
jest-cli,29.7.0,30.1.3,Update available (30.1.3)
mkdirp-classic,0.5.3,0.5.3,Up-to-date
node-abi,3.74.0,4.14.0,Update available (4.14.0)
pump,3.0.2,3.0.3,Update available (3.0.3)
tar-fs,2.1.2,3.1.0,Update available (3.1.0)
console,29.7.0,0.7.2,Current version is newer than npm (0.7.2)
reporters,29.7.0,0.0.4,Current version is newer than npm (0.0.4)
test-result,29.7.0,2.0.0,Current version is newer than npm (2.0.0)
transform,29.7.0,1.1.2,Current version is newer than npm (1.1.2)
node,22.13.1,20.19.5,Current version is newer than npm (20.19.5)
ci-info,3.9.0,4.3.0,Update available (4.3.0)
exit,0.1.2,0.1.2,Up-to-date
jest-changed-files,29.7.0,30.0.5,Update available (30.0.5)
jest-config,29.7.0,30.1.3,Update available (30.1.3)
jest-haste-map,29.7.0,30.1.0,Update available (30.1.0)
jest-message-util,29.7.0,30.1.0,Update available (30.1.0)
jest-regex-util,29.6.3,30.0.1,Update available (30.0.1)
jest-resolve-dependencies,29.7.0,30.1.3,Update available (30.1.3)
jest-resolve,29.7.0,30.1.3,Update available (30.1.3)
jest-runner,29.7.0,30.1.3,Update available (30.1.3)
jest-runtime,29.7.0,30.1.3,Update available (30.1.3)
jest-snapshot,29.7.0,30.1.2,Update available (30.1.2)
jest-util,29.7.0,30.0.5,Update available (30.0.5)
jest-validate,29.7.0,30.1.0,Update available (30.1.0)
jest-watcher,29.7.0,30.1.3,Update available (30.1.3)
istanbul-reports,3.0.4,3.2.0,Update available (3.2.0)
yargs,17.0.33,18.0.0,Update available (18.0.0)
create-jest,29.7.0,30.1.3,Update available (30.1.3)
end-of-stream,1.4.4,1.4.5,Update available (1.4.5)
chownr,1.1.4,3.0.0,Update available (3.0.0)
tar-stream,2.2.0,3.1.7,Update available (3.1.7)
trace-mapping,0.3.25,,Not Found
collect-v8-coverage,1.0.2,1.0.2,Up-to-date
istanbul-lib-instrument,6.0.3,6.0.3,Up-to-date
istanbul-reports,3.1.7,3.2.0,Update available (3.2.0)
jest-worker,29.7.0,30.1.0,Update available (30.1.0)
string-length,4.0.2,6.0.0,Update available (6.0.0)
core,7.26.7,1.0.113,Current version is newer than npm (1.0.113)
babel-plugin-istanbul,6.1.1,7.0.1,Update available (7.0.1)
istanbul-lib-instrument,5.2.1,6.0.3,Update available (6.0.3)
pirates,4.0.6,4.0.7,Update available (4.0.7)
write-file-atomic,4.0.2,6.0.0,Update available (6.0.0)
undici-types,6.20.0,7.16.0,Update available (7.16.0)
test-sequencer,29.7.0,,Not Found
babel-jest,29.7.0,30.1.2,Update available (30.1.2)
deepmerge,4.3.1,4.3.1,Up-to-date
jest-circus,29.7.0,30.1.3,Update available (30.1.3)
jest-environment-node,29.7.0,30.1.2,Update available (30.1.2)
graceful-fs,4.1.9,4.2.11,Update available (4.2.11)
fb-watchman,2.0.2,2.0.2,Up-to-date
walker,1.0.8,1.0.8,Up-to-date
code-frame,7.26.2,5.0.0,Current version is newer than npm (5.0.0)
stack-utils,2.0.3,2.0.6,Update available (2.0.6)
jest-pnp-resolver,1.2.3,1.2.3,Up-to-date
resolve.exports,2.0.3,2.0.3,Up-to-date
environment,29.7.0,1.1.0,Current version is newer than npm (1.1.0)
emittery,0.13.1,1.2.0,Update available (1.2.0)
jest-docblock,29.7.0,30.0.1,Update available (30.0.1)
jest-leak-detector,29.7.0,30.1.0,Update available (30.1.0)
source-map-support,0.5.13,0.5.21,Update available (0.5.21)
fake-timers,29.7.0,0.1.2,Current version is newer than npm (0.1.2)
globals,29.7.0,16.4.0,Current version is newer than npm (16.4.0)
source-map,29.6.3,0.7.6,Current version is newer than npm (0.7.6)
cjs-module-lexer,1.4.3,2.1.0,Update available (2.1.0)
jest-mock,29.7.0,30.0.5,Update available (30.0.5)
generator,7.26.5,1.0.1,Current version is newer than npm (1.0.1)
plugin-syntax-jsx,7.25.9,,Not Found
plugin-syntax-typescript,7.25.9,,Not Found
types,7.26.7,0.1.1,Current version is newer than npm (0.1.1)
expect-utils,29.7.0,,Not Found
babel-preset-current-node-syntax,1.1.0,1.2.0,Update available (1.2.0)
expect,29.7.0,30.1.2,Update available (30.1.2)
jest-matcher-utils,29.7.0,30.1.2,Update available (30.1.2)
leven,3.1.0,4.0.0,Update available (4.0.0)
istanbul-lib-report,3.0.3,3.0.1,Current version is newer than npm (3.0.1)
yargs-parser,21.0.3,22.0.0,Update available (22.0.0)
prompts,2.4.2,2.4.2,Up-to-date
sourcemap-codec,1.5.0,1.4.8,Current version is newer than npm (1.4.8)
parser,7.26.7,0.1.4,Current version is newer than npm (0.1.4)
debug,4.4.0,4.4.1,Update available (4.4.1)
char-regex,1.0.2,2.0.2,Update available (2.0.2)
helper-compilation-targets,7.26.5,0.0.1-security,Current version is newer than npm (0.0.1-security)
helper-module-transforms,7.26.0,,Not Found
helpers,7.26.7,0.0.6,Current version is newer than npm (0.0.6)
template,7.25.9,0.17.5,Current version is newer than npm (0.17.5)
traverse,7.26.7,0.6.11,Current version is newer than npm (0.6.11)
helper-plugin-utils,7.26.5,0.0.1-security,Current version is newer than npm (0.0.1-security)
babel__core,7.20.5,,Not Found
babel-preset-jest,29.6.3,30.0.1,Update available (30.0.1)
co,4.6.0,4.6.0,Up-to-date
dedent,1.5.3,1.7.0,Update available (1.7.0)
is-generator-fn,2.1.0,3.0.0,Update available (3.0.0)
jest-each,29.7.0,30.1.0,Update available (30.1.0)
pure-rand,6.1.0,7.0.1,Update available (7.0.1)
bser,2.1.1,2.1.1,Up-to-date
makeerror,1.0.12,1.0.12,Up-to-date
helper-validator-identifier,7.25.9,,Not Found
detect-newline,3.1.0,4.0.1,Update available (4.0.1)
fake-timers,10.3.0,0.1.2,Current version is newer than npm (0.1.2)
gen-mapping,0.3.8,0.0.1-security,Current version is newer than npm (0.0.1-security)
helper-string-parser,7.25.9,,Not Found
plugin-syntax-async-generators,7.8.4,,Not Found
plugin-syntax-bigint,7.8.3,,Not Found
plugin-syntax-class-properties,7.12.13,,Not Found
plugin-syntax-class-static-block,7.14.5,,Not Found
plugin-syntax-import-attributes,7.26.0,,Not Found
plugin-syntax-import-meta,7.10.4,,Not Found
plugin-syntax-json-strings,7.8.3,,Not Found
plugin-syntax-logical-assignment-operators,7.10.4,,Not Found
plugin-syntax-nullish-coalescing-operator,7.8.3,,Not Found
plugin-syntax-numeric-separator,7.10.4,,Not Found
plugin-syntax-object-rest-spread,7.8.3,,Not Found
plugin-syntax-optional-catch-binding,7.8.3,,Not Found
plugin-syntax-optional-chaining,7.8.3,,Not Found
plugin-syntax-private-property-in-object,7.14.5,,Not Found
plugin-syntax-top-level-await,7.14.5,,Not Found
kleur,3.0.3,4.1.5,Update available (4.1.5)
sisteransi,1.0.5,1.0.5,Up-to-date
brace-expansion,1.1.11,4.0.1,Update available (4.0.1)
compat-data,7.26.5,0.0.1-security,Current version is newer than npm (0.0.1-security)
helper-validator-option,7.25.9,,Not Found
browserslist,4.24.4,4.25.4,Update available (4.25.4)
helper-module-imports,7.25.9,,Not Found
globals,11.12.0,16.4.0,Update available (16.4.0)
babel__generator,7.6.8,,Not Found
babel__template,7.4.4,,Not Found
babel__traverse,7.20.6,,Not Found
babel-plugin-jest-hoist,29.6.3,30.0.1,Update available (30.0.1)
node-int64,0.4.0,0.4.0,Up-to-date
tmpl,1.0.5,1.0.5,Up-to-date
set-array,1.2.1,5.0.1,Update available (5.0.1)
caniuse-lite,1.0.30001697,1.0.30001741,Update available (1.0.30001741)
electron-to-chromium,1.5.92,1.5.215,Update available (1.5.215)
node-releases,2.0.19,2.0.20,Update available (2.0.20)
update-browserslist-db,1.1.2,1.1.3,Update available (1.1.3)
test,1.55.0,3.3.0,Update available (3.3.0)
postcss-import,16.1.1,16.1.1,Up-to-date
postcss,8.5.6,8.5.6,Up-to-date
prettier-plugin-embed,0.5.0,0.5.0,Up-to-date
prettier-plugin-organize-imports,4.2.0,4.2.0,Up-to-date
tsup,8.5.0,8.5.0,Up-to-date
turbo,2.5.6,2.5.6,Up-to-date
vitest,2.1.9,3.2.4,Update available (3.2.4)
pathe,1.1.2,2.0.3,Update available (2.0.3)
playwright,1.55.0,1.55.0,Up-to-date
postcss-value-parser,4.2.0,4.2.0,Up-to-date
read-cache,1.0.0,1.0.0,Up-to-date
nanoid,3.3.11,5.1.5,Update available (5.1.5)
source-map-js,1.2.1,1.2.1,Up-to-date
dedent,1.7.0,1.7.0,Up-to-date
micro-memoize,4.1.3,4.1.3,Up-to-date
package-up,5.0.0,5.0.0,Up-to-date
tiny-jsonc,1.0.2,1.0.2,Up-to-date
type-fest,4.41.0,4.41.0,Up-to-date
bundle-require,5.1.0,5.1.0,Up-to-date
cac,6.7.14,6.7.14,Up-to-date
consola,3.4.2,3.4.2,Up-to-date
esbuild,0.25.9,0.25.9,Up-to-date
fix-dts-default-cjs-exports,1.0.1,1.0.1,Up-to-date
joycon,3.1.1,3.1.1,Up-to-date
postcss-load-config,6.0.1,6.0.1,Up-to-date
rollup,4.50.1,4.50.1,Up-to-date
source-map,0.8.0-beta.0,0.7.6,Current version is newer than npm (0.7.6)
sucrase,3.35.0,3.35.0,Up-to-date
tinyexec,0.3.2,1.0.1,Update available (1.0.1)
tinyglobby,0.2.15,0.2.15,Up-to-date
tree-kill,1.2.2,1.2.2,Up-to-date
turbo-darwin-64,2.5.6,2.5.6,Up-to-date
turbo-darwin-arm64,2.5.6,2.5.6,Up-to-date
turbo-linux-64,2.5.6,2.5.6,Up-to-date
turbo-linux-arm64,2.5.6,2.5.6,Up-to-date
turbo-windows-64,2.5.6,2.5.6,Up-to-date
turbo-windows-arm64,2.5.6,2.5.6,Up-to-date
expect,2.1.9,30.1.2,Update available (30.1.2)
mocker,2.1.9,0.1.2,Current version is newer than npm (0.1.2)
pretty-format,2.1.9,30.0.5,Update available (30.0.5)
runner,2.1.9,4.0.1,Update available (4.0.1)
snapshot,2.1.9,0.0.0,Current version is newer than npm (0.0.0)
spy,2.1.9,1.0.0,Current version is newer than npm (1.0.0)
utils,2.1.9,0.3.1,Current version is newer than npm (0.3.1)
chai,5.3.3,6.0.1,Update available (6.0.1)
expect-type,1.2.2,1.2.2,Up-to-date
magic-string,0.30.19,0.30.19,Up-to-date
std-env,3.9.0,3.9.0,Up-to-date
tinybench,2.9.0,5.0.1,Update available (5.0.1)
tinypool,1.1.1,2.0.0,Update available (2.0.0)
tinyrainbow,1.2.0,3.0.3,Update available (3.0.3)
vite-node,2.1.9,3.2.4,Update available (3.2.4)
vite,5.4.20,7.1.5,Update available (7.1.5)
esbuild,0.21.5,0.25.9,Update available (0.25.9)
aix-ppc64,0.21.5,8.0.11,Update available (8.0.11)
android-arm,0.21.5,8.0.11,Update available (8.0.11)
android-arm64,0.21.5,8.0.11,Update available (8.0.11)
android-x64,0.21.5,8.0.11,Update available (8.0.11)
darwin-arm64,0.21.5,,Not Found
darwin-x64,0.21.5,,Not Found
freebsd-arm64,0.21.5,8.0.11,Update available (8.0.11)
freebsd-x64,0.21.5,8.0.11,Update available (8.0.11)
linux-arm,0.21.5,,Not Found
linux-arm64,0.21.5,,Not Found
linux-ia32,0.21.5,,Not Found
linux-loong64,0.21.5,,Not Found
linux-mips64el,0.21.5,,Not Found
linux-ppc64,0.21.5,,Not Found
linux-riscv64,0.21.5,,Not Found
linux-s390x,0.21.5,,Not Found
linux-x64,0.21.5,,Not Found
netbsd-x64,0.21.5,,Not Found
openbsd-x64,0.21.5,,Not Found
sunos-x64,0.21.5,,Not Found
win32-arm64,0.21.5,,Not Found
win32-ia32,0.21.5,,Not Found
win32-x64,0.21.5,,Not Found
why-is-node-running,2.3.0,3.2.2,Update available (3.2.2)
fsevents,2.3.2,2.3.3,Update available (2.3.3)
playwright-core,1.55.0,1.55.0,Up-to-date
load-tsconfig,0.2.5,0.2.5,Up-to-date
aix-ppc64,0.25.9,8.0.11,Update available (8.0.11)
android-arm,0.25.9,8.0.11,Update available (8.0.11)
android-arm64,0.25.9,8.0.11,Update available (8.0.11)
android-x64,0.25.9,8.0.11,Update available (8.0.11)
darwin-arm64,0.25.9,,Not Found
darwin-x64,0.25.9,,Not Found
freebsd-arm64,0.25.9,8.0.11,Update available (8.0.11)
freebsd-x64,0.25.9,8.0.11,Update available (8.0.11)
linux-arm,0.25.9,,Not Found
linux-arm64,0.25.9,,Not Found
linux-ia32,0.25.9,,Not Found
linux-loong64,0.25.9,,Not Found
linux-mips64el,0.25.9,,Not Found
linux-ppc64,0.25.9,,Not Found
linux-riscv64,0.25.9,,Not Found
linux-s390x,0.25.9,,Not Found
linux-x64,0.25.9,,Not Found
