Library,Current Version,Latest Version,Status
plugin-bugfix-v8-static-class-fields-redefine-readonly,7.28.3,,Not Found
plugin-proposal-private-property-in-object,7.21.0-placeholder-for-preset-env.2,,Not Found
plugin-syntax-import-assertions,7.27.1,,Not Found
plugin-syntax-import-attributes,7.27.1,,Not Found
plugin-syntax-unicode-sets-regex,7.18.6,,Not Found
plugin-transform-arrow-functions,7.27.1,,Not Found
plugin-transform-async-generator-functions,7.28.0,,Not Found
plugin-transform-async-to-generator,7.27.1,,Not Found
plugin-transform-block-scoped-functions,7.27.1,,Not Found
plugin-transform-block-scoping,7.28.4,,Not Found
plugin-transform-class-properties,7.27.1,,Not Found
plugin-transform-class-static-block,7.28.3,,Not Found
plugin-transform-classes,7.28.4,,Not Found
plugin-transform-computed-properties,7.27.1,,Not Found
plugin-transform-destructuring,7.28.0,,Not Found
plugin-transform-dotall-regex,7.27.1,,Not Found
plugin-transform-duplicate-keys,7.27.1,,Not Found
plugin-transform-duplicate-named-capturing-groups-regex,7.27.1,,Not Found
plugin-transform-dynamic-import,7.27.1,,Not Found
plugin-transform-explicit-resource-management,7.28.0,,Not Found
plugin-transform-exponentiation-operator,7.27.1,,Not Found
plugin-transform-export-namespace-from,7.27.1,,Not Found
plugin-transform-for-of,7.27.1,,Not Found
plugin-transform-function-name,7.27.1,,Not Found
plugin-transform-json-strings,7.27.1,,Not Found
plugin-transform-literals,7.27.1,,Not Found
plugin-transform-logical-assignment-operators,7.27.1,,Not Found
plugin-transform-member-expression-literals,7.27.1,,Not Found
plugin-transform-modules-amd,7.27.1,,Not Found
plugin-transform-modules-commonjs,7.27.1,,Not Found
plugin-transform-modules-systemjs,7.27.1,,Not Found
plugin-transform-modules-umd,7.27.1,,Not Found
plugin-transform-named-capturing-groups-regex,7.27.1,,Not Found
plugin-transform-new-target,7.27.1,,Not Found
plugin-transform-nullish-coalescing-operator,7.27.1,,Not Found
plugin-transform-numeric-separator,7.27.1,,Not Found
plugin-transform-object-rest-spread,7.28.4,,Not Found
plugin-transform-object-super,7.27.1,,Not Found
plugin-transform-optional-catch-binding,7.27.1,,Not Found
plugin-transform-optional-chaining,7.27.1,,Not Found
plugin-transform-parameters,7.27.7,,Not Found
plugin-transform-private-methods,7.27.1,,Not Found
plugin-transform-private-property-in-object,7.27.1,,Not Found
plugin-transform-property-literals,7.27.1,,Not Found
plugin-transform-regenerator,7.28.4,,Not Found
plugin-transform-regexp-modifiers,7.27.1,,Not Found
plugin-transform-reserved-words,7.27.1,,Not Found
plugin-transform-shorthand-properties,7.27.1,,Not Found
plugin-transform-spread,7.27.1,,Not Found
plugin-transform-sticky-regex,7.27.1,,Not Found
plugin-transform-template-literals,7.27.1,,Not Found
plugin-transform-typeof-symbol,7.27.1,0.0.1-security,Current version is newer than npm (0.0.1-security)
plugin-transform-unicode-escapes,7.27.1,,Not Found
plugin-transform-unicode-property-regex,7.27.1,,Not Found
plugin-transform-unicode-regex,7.27.1,,Not Found
plugin-transform-unicode-sets-regex,7.27.1,,Not Found
preset-modules,0.1.6-no-external-plugins,0.0.1-security,Current version is newer than npm (0.0.1-security)
babel-plugin-polyfill-corejs2,0.4.14,0.4.14,Up-to-date
babel-plugin-polyfill-corejs3,0.13.0,0.13.0,Up-to-date
babel-plugin-polyfill-regenerator,0.6.5,0.6.5,Up-to-date
core-js-compat,3.45.1,3.45.1,Up-to-date
decompress,4.2.1,4.2.1,Up-to-date
make-dir,1.3.0,5.0.0,Update available (5.0.0)
pify,3.0.0,6.1.0,Update available (6.1.0)
mongodb-download-url,1.6.2,1.6.2,Up-to-date
semver,7.7.2,7.7.2,Up-to-date
node-fetch,2.7.0,3.3.2,Update available (3.3.2)
whatwg-url,5.0.0,14.2.0,Update available (14.2.0)
tr46,0.0.3,5.1.1,Update available (5.1.1)
webidl-conversions,3.0.1,8.0.0,Update available (8.0.0)
tar,6.2.1,7.4.3,Update available (7.4.3)
minipass,5.0.0,7.1.2,Update available (7.1.2)
mkdirp,1.0.4,3.0.1,Update available (3.0.1)
yallist,4.0.0,5.0.0,Update available (5.0.0)
regexpp,4.12.1,3.2.0,Current version is newer than npm (3.2.0)
scope-manager,8.43.0,,Not Found
type-utils,8.43.0,0.10.6,Current version is newer than npm (0.10.6)
utils,8.43.0,0.3.1,Current version is newer than npm (0.3.1)
visitor-keys,8.43.0,,Not Found
eslint-visitor-keys,4.2.1,4.2.1,Up-to-date
graphemer,1.4.0,1.4.0,Up-to-date
ignore,7.0.5,7.0.5,Up-to-date
natural-compare,1.4.0,1.4.0,Up-to-date
ts-api-utils,2.1.0,2.1.0,Up-to-date
types,8.43.0,0.1.1,Current version is newer than npm (0.1.1)
typescript-estree,8.43.0,18.1.0,Update available (18.1.0)
archetype,0.13.0,0.13.1,Update available (0.13.1)
mpath,0.8.4,0.9.0,Update available (0.9.0)
commander,2.15.1,14.0.0,Update available (14.0.0)
espree,9.6.1,10.4.0,Update available (10.4.0)
fast-deep-equal,3.1.3,3.1.3,Up-to-date
fast-uri,3.1.0,3.1.0,Up-to-date
json-schema-traverse,1.0.0,1.0.0,Up-to-date
require-from-string,2.0.2,2.0.2,Up-to-date
es6-object-assign,1.1.0,1.1.0,Up-to-date
is-nan,1.3.2,1.3.2,Up-to-date
object-is,1.1.6,1.1.6,Up-to-date
util,0.12.5,0.12.5,Up-to-date
find-cache-dir,3.3.2,6.0.0,Update available (6.0.0)
loader-utils,2.0.4,3.3.1,Update available (3.3.1)
make-dir,3.1.0,5.0.0,Update available (5.0.0)
schema-utils,2.7.1,4.3.2,Update available (4.3.2)
ajv-keywords,3.5.2,5.1.0,Update available (5.1.0)
bhttp,1.2.8,1.2.8,Up-to-date
extend,2.0.2,3.0.2,Update available (3.0.2)
calmcard,0.1.1,0.1.1,Up-to-date
chalk,1.1.3,5.6.2,Update available (5.6.2)
char-spinner,1.0.1,1.0.1,Up-to-date
condense-whitespace,1.0.0,3.0.0,Update available (3.0.0)
default-user-agent,1.0.0,1.0.0,Up-to-date
errno,0.1.8,1.0.0,Update available (1.0.0)
extend,3.0.2,3.0.2,Up-to-date
http-equiv-refresh,1.0.0,2.0.1,Update available (2.0.1)
humanize-duration,3.33.0,3.33.0,Up-to-date
is-stream,1.1.0,4.0.1,Update available (4.0.1)
is-string,1.1.1,1.1.1,Up-to-date
limited-request-queue,2.0.0,5.1.0,Update available (5.1.0)
link-types,1.1.0,3.0.0,Update available (3.0.0)
maybe-callback,2.1.0,2.1.0,Up-to-date
nopter,0.3.0,0.3.0,Up-to-date
camelcase,1.2.1,8.0.0,Update available (8.0.0)
chalk,0.5.1,5.6.2,Update available (5.6.2)
object-assign,2.1.1,4.1.1,Update available (4.1.1)
ansi-styles,1.1.0,6.2.3,Update available (6.2.3)
has-ansi,0.1.0,6.0.2,Update available (6.0.2)
strip-ansi,0.3.0,7.1.2,Update available (7.1.2)
supports-color,0.2.0,10.2.2,Update available (10.2.2)
ansi-regex,0.2.1,6.2.2,Update available (6.2.2)
parse5,3.0.3,8.0.0,Update available (8.0.0)
robot-directives,0.3.0,0.4.0,Update available (0.4.0)
robots-txt-guard,0.1.1,1.0.2,Update available (1.0.2)
robots-txt-parse,0.0.4,2.0.1,Update available (2.0.1)
urlcache,0.7.0,0.7.0,Up-to-date
urlobj,0.0.11,0.0.11,Up-to-date
base64-js,1.5.1,1.5.1,Up-to-date
ieee754,1.2.1,1.2.1,Up-to-date
cheerio-select,2.1.0,2.1.0,Up-to-date
dom-serializer,2.0.0,2.0.0,Up-to-date
domhandler,5.0.3,5.0.3,Up-to-date
domutils,3.2.2,3.2.2,Up-to-date
encoding-sniffer,0.2.1,0.2.1,Up-to-date
htmlparser2,10.0.0,10.0.0,Up-to-date
parse5-htmlparser2-tree-adapter,7.1.0,8.0.0,Update available (8.0.0)
parse5-parser-stream,7.1.2,8.0.0,Update available (8.0.0)
undici,7.15.0,7.16.0,Update available (7.16.0)
whatwg-mimetype,4.0.0,4.0.0,Up-to-date
browserify-cipher,1.0.1,1.0.1,Up-to-date
browserify-sign,4.2.3,4.2.3,Up-to-date
create-ecdh,4.0.4,4.0.4,Up-to-date
bn.js,4.12.2,5.2.2,Update available (5.2.2)
create-hash,1.2.0,1.2.0,Up-to-date
create-hmac,1.1.7,1.1.7,Up-to-date
diffie-hellman,5.0.3,5.0.3,Up-to-date
hash-base,3.0.5,3.1.0,Update available (3.1.0)
inherits,2.0.4,2.0.4,Up-to-date
pbkdf2,3.1.3,3.1.3,Up-to-date
create-hash,1.1.3,1.2.0,Update available (1.2.0)
ripemd160,2.0.1,2.0.2,Update available (2.0.2)
hash-base,2.0.2,3.1.0,Update available (3.1.0)
public-encrypt,4.0.3,4.0.3,Up-to-date
randombytes,2.1.0,2.1.0,Up-to-date
randomfill,1.0.4,1.0.4,Up-to-date
jsdoctypeparser,9.0.0,9.0.0,Up-to-date
markdown-it,13.0.1,14.1.0,Update available (14.1.0)
entities,3.0.1,7.0.0,Update available (7.0.0)
mdast-util-from-markdown,0.8.5,2.0.2,Update available (2.0.2)
micromark,2.11.4,4.0.2,Update available (4.0.2)
requireindex,1.1.0,1.2.0,Update available (1.2.0)
eslint-utils,4.9.0,3.0.0,Current version is newer than npm (3.0.0)
eslintrc,2.1.4,1.0.6,Current version is newer than npm (1.0.6)
js,8.57.1,0.1.0,Current version is newer than npm (0.1.0)
config-array,0.13.0,,Not Found
module-importer,1.0.1,0.2.0,Current version is newer than npm (0.2.0)
fs.walk,1.2.8,,Not Found
structured-clone,1.3.0,0.2.2,Current version is newer than npm (0.2.2)
cross-spawn,7.0.6,7.0.6,Up-to-date
doctrine,3.0.0,3.0.0,Up-to-date
eslint-scope,7.2.2,8.4.0,Update available (8.4.0)
eslint-visitor-keys,3.4.3,4.2.1,Update available (4.2.1)
esquery,1.6.0,1.6.0,Up-to-date
esutils,2.0.3,2.0.3,Up-to-date
file-entry-cache,6.0.1,10.1.4,Update available (10.1.4)
find-up,5.0.0,7.0.0,Update available (7.0.0)
glob-parent,6.0.2,6.0.2,Up-to-date
